"","X","Date","MXX","NAFTRACISHRS.MX","DIABLOI10.MX","ALFAA.MX","AC.MX","ASURB.MX","BIMBOA.MX","BOLSAA.MX","CEMEXCPO.MX","FEMSAUBD.MX","CHDRAUIB.MX","GFNORTEO.MX","GMEXICOB.MX","PINFRA.MX","WALMEX.MX","DJI","IXIC","AAPL","AMZN","AZO","BAC","DELL","GM","GOOGL","MSFT","TSLA","QQQ","IDU","WM","SPGSCI","GLD","DBA","DBE","GSG"
"180",180,"2020-03-20",-0.105565749471827,-0.105360577627734,0.0820565790213155,-0.229066599344725,-0.0657314333372421,-0.330731371911174,0.0303913904446071,-0.144118183251748,-0.217572402015774,-0.0746153015384943,-0.0158944347174299,-0.31720433667447,-0.0764613949533768,-0.119415909047559,-0.097797610580332,-0.0995693225444239,-0.0447203234287894,-0.102335157522067,0.124060161959707,-0.239516580720682,-0.115195108284825,-0.0107878486165252,-0.218679848286165,-0.0377500016787691,-0.0548934820804714,-0.15532066164692,-0.0289481080633909,-0.0953339246429952,0.0215310751442122,-0.0412477460403675,0.0680358067884352,0.0719945274289628,-0.0573248107756807,-0.0551095961749324
"181",181,"2020-03-27",-0.0138104249518101,-0.0149848644512005,-0.0528325964563048,-0.0784968385327276,-0.0367472838194987,0.0961246422041242,0.0377647560532912,0.063694062005383,-0.00696871641728869,-0.0195923389452117,0.0712748331253001,-0.0480809660881678,0.0371779865565651,0.0544268880752234,0.0430894204705625,0.0866314767460938,0.0524624438871104,0.0434014905283275,-0.00537232557331091,0.122463596429274,0.059389776115923,0.141989377848687,0.130127570951779,0.00440088512853709,0.0518918703808495,0.150690013656099,0.0499881610854231,0.125517058406071,-0.0653048794229019,-0.0344000695236559,0.048887114730336,-0.0242514870222985,2.42190836861056e-05,-0.0373259161005173
"182",182,"2020-04-03",-0.0216555520485997,-0.0197315302390506,-0.0438126427192507,-0.0721534613387795,-0.0170351207068293,-0.107937561066175,-0.00190233474144819,-0.0772916614305426,-0.018824025292991,-0.0085354474221413,0.0168486366974956,-0.025829636742638,0.0156216367301729,-0.125403511037556,0.0290036356251338,0.0146861830827234,0.0246753374688513,0.0161770083455668,0.0454698861814391,-0.0323505284894736,-0.0334022416757653,-0.0194035637691563,-0.127804487434058,0.0261174855743755,0.0692751425274771,-0.0270564117535246,0.0315900802255076,-0.0292089589633697,-0.0261087115723413,0.0938426451841021,0.0446838580472519,-0.00726106284317485,0.0587469778639154,0.0996809392838207
"183",183,"2020-04-17",0.00505896561411312,0.00489678771617497,-0.00516039834460802,0.151029627421099,0.0233283937173274,0.0910588896199487,0.000298930875494818,0.0136735853448871,0.00795235024912988,-0.0386169360582631,0.0244573021578409,-0.056510543269531,0.0519299475500361,0.0405543836629443,0.0262344174053579,0.025348104766433,0.0626515550329678,0.057323181849017,0.154228792155156,0.0562921732728654,-0.0621324694628198,0.00232907043446851,-0.0643915390836236,0.0618301243888295,0.0818881980081247,0.277893950656024,0.0729111724227227,-0.00661068824234246,0.00773080015469496,-0.0178212179411474,0.00277674751264989,-0.0059454439034905,-0.00716212926914928,-0.0516603791912855
"184",184,"2020-04-24",-0.00450834244368536,-0.00287733521687716,0.00516039834460802,-0.161416506917738,-0.0792587547529626,-0.0185781394107813,-0.0254175555808125,0.092480838910808,-0.086831368252817,0.0291369644203181,0.00110998758498537,-0.0377282652201449,0.055739338858523,0.0159396602624922,-0.0154825822994296,0.0220210787202699,0.0396746248677982,0.0420831578901106,0.0562026272928797,0.0956830120627483,-0.00692155482153467,-0.00335284064779184,0.0176233975835949,0.0396038877389904,0.0185446852727811,0.00261407659866819,0.0347239460858884,0.00448952718623907,0.0234690948175347,-0.072386450267059,0.066825005144656,0.0170091254338027,-0.0952974166639313,-0.0705626620620246
"185",185,"2020-05-08",0.0311406272347998,0.0315858643485152,-0.0220625123932656,-0.0112190112966539,0.0799846391288526,0.0384413291938941,-0.0166624493263212,0.00159764793284856,0.0098136254909793,0.0262931105542776,-0.002772087248331,0.137695107727707,0.0289541528314841,0.0165852728369345,0.0106384780672615,0.0173195353618869,0.0503061400363478,0.0650554204675515,0.0321447395242513,0.0538804973762126,0.0130375495623127,0.0793531448926972,0.127412956760742,0.0416534139588256,0.0483277769797859,0.14766171387145,0.0474365930560534,-0.00223149423917146,0.0197445076448197,0.073028225510944,-0.00397327979930395,0.00217429699551275,0.0725922794434561,0.0614937462435314
"186",186,"2020-05-15",-0.0527241303526882,-0.0526506075309099,0.0524464614502897,0.0769611170566424,-0.0160385666524006,-0.0767393126429399,0.031386317797506,-0.0458818078499115,-0.102759778321967,-0.0798291206234705,-0.0125699561138886,-0.114153943889014,-0.0895058506412529,-0.0208947093974494,-0.044676898934719,-0.0340386545192644,-0.0189074624670376,-0.0149677179295846,0.00546494329723046,0.00888230649111499,-0.101850058664476,-0.0435270165342416,-0.0629904696634922,-0.0153155631281994,-0.0153983632642927,-0.0321569539574691,-0.0142299794632468,-0.0354276751121105,-0.0583386834956237,0.0177927903482118,0.0145102002278819,-0.0319527559950599,-0.00838314208206548,-0.000554985385877949
"187",187,"2020-05-22",0.0026031548094636,0.00111970270037265,-0.00292397593959892,0.103649632694861,-0.0472809090853099,-0.0196039612268324,-0.00168670497964385,0.0500469205888558,0.0319516140924323,0.0134545412974143,-0.048965819295065,0.00236829928462079,0.0430849464922858,-0.0637111766361294,-0.00393420307926684,-0.00961440358618937,-0.00819082926241776,-0.00631633917686703,-0.0308217057556108,0.00164334626135165,0.0133381185832206,-0.0189882638476062,0.0960457809302797,-0.0131616092778017,-0.0373145723413586,-0.0200862705521425,-0.013786760927081,-0.0102836774451154,-0.0113120526021815,0.00180489397707362,-0.0464065154457192,-0.0434840028143055,0.0209700841379092,0.00287452699404689
"188",188,"2020-05-29",0.00940966451662462,0.0120995923287293,-0.0117821575278438,0.00512386262165698,0.0467752942267641,0.0032430584076355,-0.0247843013990772,0.00684860481829341,0.0958817574174524,0.00206957552690668,0.0197301687420137,-0.00578260497260752,-0.0537966936573242,0.0667059489026718,-0.00827638540756048,0.00704276040177731,-0.0122211898558824,-0.0327745193867681,-0.0275408058485214,-0.00784200347775688,0.0326488945369405,0.11217905793151,-0.0336476809860562,-0.0155431963318424,-0.031209066713771,-0.00785161366520448,-0.0138088260596589,0.0247936523139662,0.0463869802620778,0.00049208094786124,-0.031630968865926,-0.0187494896684957,-0.00429747699411376,-0.00400321841102524
"189",189,"2020-06-05",0.0753071089295343,0.0746413631822178,-0.0721724909953587,0.10808269411389,0.00885785793017746,0.239263259928484,0.0171581462228207,0.0246409006981354,0.207401311514412,0.0403202492843704,-0.0120109689965817,0.179094583277056,0.104117159788432,0.0598328115305904,0.000180672584098929,0.052411948050592,0.0201502574369119,0.0283222320178851,0.00305572792143494,-0.00816868579799213,0.146590850993757,0.00412932140825273,0.154413487588055,-0.00891878201673357,0.00788332596902563,0.0454584468437726,0.0133212294535792,0.0120805909983339,0.0413079254791766,0.044934198447617,-0.0439825496903179,0.000370511890234404,0.0625431242886592,0.0439417646464886
"190",190,"2020-06-12",-0.0331201949560693,-0.0334314874780199,0.0795526263422257,0.014421360018869,0.00469866113678208,-0.0570509705790361,-0.00511656777512259,-0.00645018647246776,-0.0426942170219589,-0.0595081862487099,-0.0736856039400209,-0.0268361654819671,0.00982061440050463,-0.0596534274516412,-0.0176770599455454,-0.0145749292909265,0.0193338537470709,0.0643371197517979,0.0672261875532847,-0.00484463444884398,-0.0835331837699611,-0.031796210424873,-0.0479967721535361,0.0235566721476248,0.0454355303365421,0.0970680628868994,0.0265320757097758,-0.00287494122202592,-0.0343953779172104,0.00735413838062726,0.0713130755239799,0.0250746840702964,-0.00968741715186017,0.00633000805222661
"191",191,"2020-06-19",0.0190687627243147,0.0194635964421233,-0.0185534073704812,-0.0151862894128327,0.00189325286992226,-0.0361260890028348,0.0751861842295631,-0.0127922907511442,0.0255196453856963,0.00603137077448146,-0.0605260919546211,0.0923919919944289,0.000375890017982883,-0.0237182951090915,0.0107892678857064,0.00250143457285823,0.0287554537746981,0.0238927335298991,0.0419843063393781,0.0191443914837333,0.0109588180051485,0.0343381977858019,-0.0580700325694226,0.000430279602171346,0.0308803108432123,0.0599786104895559,0.02699762878113,-0.0275912109631919,-0.0284476133145315,0.0338008503469851,0.000802835142794223,-0.0166864220252485,0.0412257613369453,0.0235756466316612
"192",192,"2020-06-26",-0.0256533998260657,-0.025527654611877,0.0331521925637563,-0.0130922541386762,0.000597024311407068,-0.0366168553432553,0.0424384918104135,0.0051364365772617,-0.0110847311099194,-0.043005994678575,0.0934811579523909,-0.0823545282955473,-0.0147617812716403,0.0159750267593086,0.00565027721127009,-0.0335105053082074,-0.0190427425685531,0.0112503589442223,0.00678664591617384,-0.0228341116846096,-0.0866988783856657,0.0659858410178549,-0.083363754560966,-0.0444362126585496,0.00616073310439091,-0.0418602107674024,-0.01472629482023,-0.0330986895665344,0.0102998479464196,-0.0294488404398816,0.0153184488348401,-0.0246344109519265,-0.0367081342857656,-0.0302771472808194
"193",193,"2020-07-10",-0.0399039669396046,-0.0371310393623463,0.0459191387178199,-0.0469341847488236,0.00067731002098359,-0.0890953244239538,-0.0348432938671217,-0.0465522038812245,-0.0759040579190895,-0.0696670145244411,-0.0153763313105513,-0.0188414329091051,0.00918932565392083,-0.0185926041664795,-0.0301530895534188,0.0150900928929545,0.0448984320143904,0.0578888928965089,0.107326438850444,-0.0257409356008651,0.0363986796375393,-0.000435393469973455,-0.0287209262312969,0.05146055738971,0.0408311158136758,0.250821015229698,0.0511885327971076,0.00330430679677463,-0.00548001571060652,0.0205639662929222,0.0186842668080178,0.000387005256574646,0.0212676083747985,0.0234188075515727
"194",194,"2020-07-17",-0.00378115173342231,-0.00246990922146084,0.00350019185490913,-0.0183951112670107,-0.0527197771373897,-0.0512333543785415,-0.0311380628383096,0.00306205387927205,0.0665290003171983,-0.0128366766197168,-0.0256472087385577,-0.0483872078951171,-0.00219781232718885,-0.053182808038696,0.0278519505866766,0.0141411992274012,-0.0193015979627145,-0.004243232009701,-0.0857789396082698,0.0300180612759835,-0.042355539426647,0.113637302034575,0.0726004434395788,-0.0229862174148048,-0.0603007464222518,-0.0372551110347779,-0.0258699618965927,0.0316131039403977,0.0374506016784579,-0.00978570301618831,-0.00300100332533404,0.00251846894725993,-0.0168421496430682,-0.0150340110233076
"195",195,"2020-07-24",0.0279482638241539,0.0284451660371516,-0.0276319625045183,-0.0617856294962289,0.101786159193193,-0.024974442775747,0.0685525802259499,0.0611226240228797,-0.0206193262042285,0.0240938904345898,0.0226192575771025,0.0532875316803256,0.0782640995973183,0.0403218354147379,0.00106278865022702,-0.0046408080788769,-0.0104562222552609,-0.036339063102039,0.0186870305333873,0.0126718463590816,0.0504815842203792,0.0100611596091946,-0.00462651888027032,-0.00274854444812789,-0.00485456593686884,-0.0545192530164549,-0.0120273897240004,0.0040359673951933,-0.0101860183320097,0.0163567753233878,0.0521680932220203,0.00587708954085642,0.0237330085082172,0.0178755439493452
"196",196,"2020-07-31",-0.0090829943024584,-0.00855231823909453,0.00929574896802965,0.0776920458622654,0.0106246613315175,0.00607618251083952,0.029104917063298,-0.00621409923970795,0.0888793551566647,0.018924317254613,-0.00799234694687723,0.00150321804298947,-0.0481036748929431,0.0214051392351724,-0.0784067392271135,-0.0232843844220838,0.0144938302208661,0.115725143122659,0.0287613715145003,0.0109753490363431,-0.000180389575023199,-0.0377951534212997,-0.0749126348708877,-0.0352368602153801,-0.00345050129434554,-0.0120488408302801,0.0175368081554481,-0.0145691440475515,-0.000317440765233989,-0.0281365922605552,0.0152563332363318,0.00908109612869001,-0.0330823761636312,-0.027278590411461
"197",197,"2020-08-07",0.026268075327696,0.0258647496341498,-0.0244969129985475,0.189356603515,-0.0450026341888554,0.0295764510961956,-0.00124785688444407,0.119266207357137,0.0707508167516364,-0.0526972669788179,-0.00229544034919948,-0.00854717923501269,0.0545258968505866,0.0237097990621304,0.0623463214521287,0.0556828384544676,0.042782215575766,0.0648105511663095,0.0192329384240537,-0.00273705570112348,0.0666090072266421,0.0344373092664334,0.0893010319171248,0.0253333637193514,0.0541439937248658,0.0335798338183864,0.0394995865251957,0.0312427601143321,0.0464241662754015,0.0339178306166747,0.0469555732682583,0.00486498098913657,0.0450230938172398,0.0331288616469436
"198",198,"2020-08-14",0.0245579333401338,0.0241854995588362,-0.0221248104417198,-0.0215359992443767,0.0240113780273221,0.114383101927223,0.0346088651353997,-0.0714517392144041,0.024292664417997,0.038686284402492,0.0257104645240886,0.0363181632094491,-0.00185474572127076,0.0310142923849215,0.0269759334312392,0.00679911275244294,-0.01041932346903,0.0224095007693519,-0.0173309090803127,0.000455912159075922,0.00251909654718308,-0.0259209124157342,0.030605095744419,-0.0070054376969626,-0.0281667199624103,0.116600102731733,-0.00863588261382908,-0.0294652747801027,-0.0223257339449434,0.00896037697623164,-0.0554834526838555,0.00583506477194717,0.00787363439676181,-0.00023556404787417
